institute,date,party,votes
allensbach,2002-09-17,CDU/CSU,0.373
allensbach,2002-09-17,SPD,0.37
allensbach,2002-09-17,GRÜNE,0.072
allensbach,2002-09-17,FDP,0.101
allensbach,2002-09-17,PDS,0.044
allensbach,2002-09-17,REP,NA
allensbach,2002-09-17,Sonstige,0.04
allensbach,2002-09-17,Linke.PDS,NA
allensbach,2002-09-17,LINKE,NA
allensbach,2002-09-17,PIRATEN,NA
allensbach,2002-09-17,AfD,NA
allensbach,2002-09-11,CDU/CSU,0.37
allensbach,2002-09-11,SPD,0.37
allensbach,2002-09-11,GRÜNE,0.073
allensbach,2002-09-11,FDP,0.101
allensbach,2002-09-11,PDS,0.049
allensbach,2002-09-11,REP,NA
allensbach,2002-09-11,Sonstige,0.037
allensbach,2002-09-11,Linke.PDS,NA
allensbach,2002-09-11,LINKE,NA
allensbach,2002-09-11,PIRATEN,NA
allensbach,2002-09-11,AfD,NA
allensbach,2002-09-08,CDU/CSU,0.382
allensbach,2002-09-08,SPD,0.352
allensbach,2002-09-08,GRÜNE,0.072
allensbach,2002-09-08,FDP,0.112
allensbach,2002-09-08,PDS,0.049
allensbach,2002-09-08,REP,NA
allensbach,2002-09-08,Sonstige,0.033
allensbach,2002-09-08,Linke.PDS,NA
allensbach,2002-09-08,LINKE,NA
allensbach,2002-09-08,PIRATEN,NA
allensbach,2002-09-08,AfD,NA
allensbach,2002-09-04,CDU/CSU,0.391
allensbach,2002-09-04,SPD,0.342
allensbach,2002-09-04,GRÜNE,0.07
allensbach,2002-09-04,FDP,0.116
allensbach,2002-09-04,PDS,0.049
allensbach,2002-09-04,REP,NA
allensbach,2002-09-04,Sonstige,0.032
allensbach,2002-09-04,Linke.PDS,NA
allensbach,2002-09-04,LINKE,NA
allensbach,2002-09-04,PIRATEN,NA
allensbach,2002-09-04,AfD,NA
allensbach,2002-08-28,CDU/CSU,0.401
allensbach,2002-08-28,SPD,0.329
allensbach,2002-08-28,GRÜNE,0.065
allensbach,2002-08-28,FDP,0.116
allensbach,2002-08-28,PDS,0.051
allensbach,2002-08-28,REP,NA
allensbach,2002-08-28,Sonstige,0.038
allensbach,2002-08-28,Linke.PDS,NA
allensbach,2002-08-28,LINKE,NA
allensbach,2002-08-28,PIRATEN,NA
allensbach,2002-08-28,AfD,NA
allensbach,2002-08-25,CDU/CSU,0.398
allensbach,2002-08-25,SPD,0.328
allensbach,2002-08-25,GRÜNE,0.066
allensbach,2002-08-25,FDP,0.117
allensbach,2002-08-25,PDS,0.05
allensbach,2002-08-25,REP,NA
allensbach,2002-08-25,Sonstige,0.041
allensbach,2002-08-25,Linke.PDS,NA
allensbach,2002-08-25,LINKE,NA
allensbach,2002-08-25,PIRATEN,NA
allensbach,2002-08-25,AfD,NA
allensbach,2002-08-21,CDU/CSU,0.397
allensbach,2002-08-21,SPD,0.319
allensbach,2002-08-21,GRÜNE,0.067
allensbach,2002-08-21,FDP,0.128
allensbach,2002-08-21,PDS,0.056
allensbach,2002-08-21,REP,NA
allensbach,2002-08-21,Sonstige,0.033
allensbach,2002-08-21,Linke.PDS,NA
allensbach,2002-08-21,LINKE,NA
allensbach,2002-08-21,PIRATEN,NA
allensbach,2002-08-21,AfD,NA
allensbach,2002-08-14,CDU/CSU,0.397
allensbach,2002-08-14,SPD,0.33
allensbach,2002-08-14,GRÜNE,0.062
allensbach,2002-08-14,FDP,0.125
allensbach,2002-08-14,PDS,0.056
allensbach,2002-08-14,REP,NA
allensbach,2002-08-14,Sonstige,0.03
allensbach,2002-08-14,Linke.PDS,NA
allensbach,2002-08-14,LINKE,NA
allensbach,2002-08-14,PIRATEN,NA
allensbach,2002-08-14,AfD,NA
allensbach,2002-08-02,CDU/CSU,0.388
allensbach,2002-08-02,SPD,0.342
allensbach,2002-08-02,GRÜNE,0.069
allensbach,2002-08-02,FDP,0.121
allensbach,2002-08-02,PDS,0.056
allensbach,2002-08-02,REP,NA
allensbach,2002-08-02,Sonstige,0.024
allensbach,2002-08-02,Linke.PDS,NA
allensbach,2002-08-02,LINKE,NA
allensbach,2002-08-02,PIRATEN,NA
allensbach,2002-08-02,AfD,NA
allensbach,2002-07-03,CDU/CSU,0.383
allensbach,2002-07-03,SPD,0.334
allensbach,2002-07-03,GRÜNE,0.069
allensbach,2002-07-03,FDP,0.131
allensbach,2002-07-03,PDS,0.057
allensbach,2002-07-03,REP,0.012
allensbach,2002-07-03,Sonstige,0.014
allensbach,2002-07-03,Linke.PDS,NA
allensbach,2002-07-03,LINKE,NA
allensbach,2002-07-03,PIRATEN,NA
allensbach,2002-07-03,AfD,NA
allensbach,2002-06-12,CDU/CSU,0.39
allensbach,2002-06-12,SPD,0.322
allensbach,2002-06-12,GRÜNE,0.071
allensbach,2002-06-12,FDP,0.124
allensbach,2002-06-12,PDS,0.062
allensbach,2002-06-12,REP,NA
allensbach,2002-06-12,Sonstige,0.031
allensbach,2002-06-12,Linke.PDS,NA
allensbach,2002-06-12,LINKE,NA
allensbach,2002-06-12,PIRATEN,NA
allensbach,2002-06-12,AfD,NA
allensbach,2002-05-15,CDU/CSU,0.382
allensbach,2002-05-15,SPD,0.332
allensbach,2002-05-15,GRÜNE,0.064
allensbach,2002-05-15,FDP,0.128
allensbach,2002-05-15,PDS,0.062
allensbach,2002-05-15,REP,0.018
allensbach,2002-05-15,Sonstige,0.014
allensbach,2002-05-15,Linke.PDS,NA
allensbach,2002-05-15,LINKE,NA
allensbach,2002-05-15,PIRATEN,NA
allensbach,2002-05-15,AfD,NA
allensbach,2002-04-17,CDU/CSU,0.37
allensbach,2002-04-17,SPD,0.345
allensbach,2002-04-17,GRÜNE,0.065
allensbach,2002-04-17,FDP,0.119
allensbach,2002-04-17,PDS,0.069
allensbach,2002-04-17,REP,0.016
allensbach,2002-04-17,Sonstige,0.016
allensbach,2002-04-17,Linke.PDS,NA
allensbach,2002-04-17,LINKE,NA
allensbach,2002-04-17,PIRATEN,NA
allensbach,2002-04-17,AfD,NA
allensbach,2002-03-20,CDU/CSU,0.373
allensbach,2002-03-20,SPD,0.34
allensbach,2002-03-20,GRÜNE,0.066
allensbach,2002-03-20,FDP,0.119
allensbach,2002-03-20,PDS,0.066
allensbach,2002-03-20,REP,NA
allensbach,2002-03-20,Sonstige,0.036
allensbach,2002-03-20,Linke.PDS,NA
allensbach,2002-03-20,LINKE,NA
allensbach,2002-03-20,PIRATEN,NA
allensbach,2002-03-20,AfD,NA
allensbach,2002-02-20,CDU/CSU,0.361
allensbach,2002-02-20,SPD,0.341
allensbach,2002-02-20,GRÜNE,0.065
allensbach,2002-02-20,FDP,0.132
allensbach,2002-02-20,PDS,0.066
allensbach,2002-02-20,REP,0.013
allensbach,2002-02-20,Sonstige,0.022
allensbach,2002-02-20,Linke.PDS,NA
allensbach,2002-02-20,LINKE,NA
allensbach,2002-02-20,PIRATEN,NA
allensbach,2002-02-20,AfD,NA
allensbach,2002-01-30,CDU/CSU,0.358
allensbach,2002-01-30,SPD,0.349
allensbach,2002-01-30,GRÜNE,0.066
allensbach,2002-01-30,FDP,0.111
allensbach,2002-01-30,PDS,0.067
allensbach,2002-01-30,REP,NA
allensbach,2002-01-30,Sonstige,0.049
allensbach,2002-01-30,Linke.PDS,NA
allensbach,2002-01-30,LINKE,NA
allensbach,2002-01-30,PIRATEN,NA
allensbach,2002-01-30,AfD,NA
allensbach,2001-12-19,CDU/CSU,0.351
allensbach,2001-12-19,SPD,0.354
allensbach,2001-12-19,GRÜNE,0.066
allensbach,2001-12-19,FDP,0.115
allensbach,2001-12-19,PDS,0.066
allensbach,2001-12-19,REP,0.026
allensbach,2001-12-19,Sonstige,0.022
allensbach,2001-12-19,Linke.PDS,NA
allensbach,2001-12-19,LINKE,NA
allensbach,2001-12-19,PIRATEN,NA
allensbach,2001-12-19,AfD,NA
allensbach,2001-11-14,CDU/CSU,0.345
allensbach,2001-11-14,SPD,0.367
allensbach,2001-11-14,GRÜNE,0.074
allensbach,2001-11-14,FDP,0.106
allensbach,2001-11-14,PDS,0.064
allensbach,2001-11-14,REP,0.015
allensbach,2001-11-14,Sonstige,0.029
allensbach,2001-11-14,Linke.PDS,NA
allensbach,2001-11-14,LINKE,NA
allensbach,2001-11-14,PIRATEN,NA
allensbach,2001-11-14,AfD,NA
allensbach,2001-10-17,CDU/CSU,0.357
allensbach,2001-10-17,SPD,0.368
allensbach,2001-10-17,GRÜNE,0.074
allensbach,2001-10-17,FDP,0.109
allensbach,2001-10-17,PDS,0.057
allensbach,2001-10-17,REP,0.015
allensbach,2001-10-17,Sonstige,0.02
allensbach,2001-10-17,Linke.PDS,NA
allensbach,2001-10-17,LINKE,NA
allensbach,2001-10-17,PIRATEN,NA
allensbach,2001-10-17,AfD,NA
allensbach,2001-09-19,CDU/CSU,0.357
allensbach,2001-09-19,SPD,0.359
allensbach,2001-09-19,GRÜNE,0.08
allensbach,2001-09-19,FDP,0.109
allensbach,2001-09-19,PDS,0.06
allensbach,2001-09-19,REP,0.017
allensbach,2001-09-19,Sonstige,0.018
allensbach,2001-09-19,Linke.PDS,NA
allensbach,2001-09-19,LINKE,NA
allensbach,2001-09-19,PIRATEN,NA
allensbach,2001-09-19,AfD,NA
allensbach,2001-08-14,CDU/CSU,0.34
allensbach,2001-08-14,SPD,0.361
allensbach,2001-08-14,GRÜNE,0.078
allensbach,2001-08-14,FDP,0.11
allensbach,2001-08-14,PDS,0.064
allensbach,2001-08-14,REP,0.008
allensbach,2001-08-14,Sonstige,0.039
allensbach,2001-08-14,Linke.PDS,NA
allensbach,2001-08-14,LINKE,NA
allensbach,2001-08-14,PIRATEN,NA
allensbach,2001-08-14,AfD,NA
allensbach,2001-07-25,CDU/CSU,0.33
allensbach,2001-07-25,SPD,0.372
allensbach,2001-07-25,GRÜNE,0.077
allensbach,2001-07-25,FDP,0.108
allensbach,2001-07-25,PDS,0.067
allensbach,2001-07-25,REP,0.022
allensbach,2001-07-25,Sonstige,0.024
allensbach,2001-07-25,Linke.PDS,NA
allensbach,2001-07-25,LINKE,NA
allensbach,2001-07-25,PIRATEN,NA
allensbach,2001-07-25,AfD,NA
allensbach,2001-06-20,CDU/CSU,0.334
allensbach,2001-06-20,SPD,0.371
allensbach,2001-06-20,GRÜNE,0.079
allensbach,2001-06-20,FDP,0.111
allensbach,2001-06-20,PDS,0.06
allensbach,2001-06-20,REP,0.016
allensbach,2001-06-20,Sonstige,0.029
allensbach,2001-06-20,Linke.PDS,NA
allensbach,2001-06-20,LINKE,NA
allensbach,2001-06-20,PIRATEN,NA
allensbach,2001-06-20,AfD,NA
allensbach,2001-05-16,CDU/CSU,0.336
allensbach,2001-05-16,SPD,0.381
allensbach,2001-05-16,GRÜNE,0.079
allensbach,2001-05-16,FDP,0.102
allensbach,2001-05-16,PDS,0.057
allensbach,2001-05-16,REP,0.02
allensbach,2001-05-16,Sonstige,0.025
allensbach,2001-05-16,Linke.PDS,NA
allensbach,2001-05-16,LINKE,NA
allensbach,2001-05-16,PIRATEN,NA
allensbach,2001-05-16,AfD,NA
allensbach,2001-04-18,CDU/CSU,0.329
allensbach,2001-04-18,SPD,0.392
allensbach,2001-04-18,GRÜNE,0.077
allensbach,2001-04-18,FDP,0.102
allensbach,2001-04-18,PDS,0.057
allensbach,2001-04-18,REP,0.018
allensbach,2001-04-18,Sonstige,0.025
allensbach,2001-04-18,Linke.PDS,NA
allensbach,2001-04-18,LINKE,NA
allensbach,2001-04-18,PIRATEN,NA
allensbach,2001-04-18,AfD,NA
allensbach,2001-03-14,CDU/CSU,0.324
allensbach,2001-03-14,SPD,0.393
allensbach,2001-03-14,GRÜNE,0.075
allensbach,2001-03-14,FDP,0.1
allensbach,2001-03-14,PDS,0.062
allensbach,2001-03-14,REP,0.023
allensbach,2001-03-14,Sonstige,0.023
allensbach,2001-03-14,Linke.PDS,NA
allensbach,2001-03-14,LINKE,NA
allensbach,2001-03-14,PIRATEN,NA
allensbach,2001-03-14,AfD,NA
allensbach,2001-02-14,CDU/CSU,0.328
allensbach,2001-02-14,SPD,0.387
allensbach,2001-02-14,GRÜNE,0.08
allensbach,2001-02-14,FDP,0.096
allensbach,2001-02-14,PDS,0.061
allensbach,2001-02-14,REP,0.023
allensbach,2001-02-14,Sonstige,0.025
